On Time,Off Time,Running Duration,Off Duration
2020-12-16 12:07:41+00:00,2020-12-16 12:46:24+00:00,0:38:43,0:31:44
2020-12-16 13:18:08+00:00,2020-12-16 13:56:43+00:00,0:38:35,0:31:38
2020-12-16 14:28:21+00:00,2020-12-16 15:07:27+00:00,0:39:06,0:31:40
2020-12-16 15:39:07+00:00,2020-12-16 16:17:44+00:00,0:38:37,0:31:29
2020-12-16 16:49:13+00:00,2020-12-16 17:27:47+00:00,0:38:34,0:31:41
2020-12-16 17:59:28+00:00,2020-12-16 18:37:53+00:00,0:38:25,0:31:27
2020-12-16 19:09:20+00:00,2020-12-16 19:48:13+00:00,0:38:53,0:31:32
2020-12-16 20:19:45+00:00,2020-12-16 20:58:37+00:00,0:38:52,0:31:39
2020-12-16 21:30:16+00:00,2020-12-16 22:09:07+00:00,0:38:51,0:31:09
2020-12-16 22:40:16+00:00,2020-12-16 23:19:20+00:00,0:39:04,0:31:24
2020-12-16 23:50:44+00:00,2020-12-17 00:29:57+00:00,0:39:13,0:31:44
2020-12-17 01:01:41+00:00,2020-12-17 01:41:17+00:00,0:39:36,0:31:53
2020-12-17 02:13:10+00:00,2020-12-17 02:51:56+00:00,0:38:46,0:31:40
2020-12-17 03:23:36+00:00,2020-12-17 04:02:39+00:00,0:39:03,0:31:34
2020-12-17 04:34:13+00:00,2020-12-17 05:12:29+00:00,0:38:16,0:31:25
2020-12-17 05:43:54+00:00,2020-12-17 06:22:32+00:00,0:38:38,0:31:15
2020-12-17 06:53:47+00:00,2020-12-17 07:32:33+00:00,0:38:46,0:31:39
2020-12-17 08:04:12+00:00,2020-12-17 08:42:19+00:00,0:38:07,0:31:59
2020-12-17 09:14:18+00:00,2020-12-17 09:34:58+00:00,0:20:40,0:36:29
2020-12-17 10:11:27+00:00,2020-12-17 10:49:07+00:00,0:37:40,0:04:12
2020-12-17 10:53:19+00:00,2020-12-17 11:16:52+00:00,0:23:33,0:04:41
2020-12-17 11:21:33+00:00,2020-12-17 12:42:38+00:00,1:21:05,0:27:38
2020-12-17 13:10:16+00:00,2020-12-17 13:55:56+00:00,0:45:40,0:30:31
2020-12-17 14:26:27+00:00,2020-12-17 15:08:43+00:00,0:42:16,0:31:02
2020-12-17 15:39:45+00:00,2020-12-17 16:21:41+00:00,0:41:56,0:30:49
2020-12-17 16:52:30+00:00,2020-12-17 17:33:31+00:00,0:41:01,0:30:40
2020-12-17 18:04:11+00:00,2020-12-17 18:45:33+00:00,0:41:22,0:31:02
2020-12-17 19:16:35+00:00,2020-12-17 19:57:10+00:00,0:40:35,0:30:40
2020-12-17 20:27:50+00:00,2020-12-17 21:09:13+00:00,0:41:23,0:31:09
2020-12-17 21:40:22+00:00,2020-12-17 22:20:40+00:00,0:40:18,0:31:07
2020-12-17 22:51:47+00:00,2020-12-17 23:31:59+00:00,0:40:12,0:31:29
2020-12-18 00:03:28+00:00,2020-12-18 00:43:06+00:00,0:39:38,0:31:13
2020-12-18 01:14:19+00:00,2020-12-18 01:53:46+00:00,0:39:27,0:31:21
2020-12-18 02:25:07+00:00,2020-12-18 03:04:30+00:00,0:39:23,0:31:10
2020-12-18 03:35:40+00:00,2020-12-18 04:14:37+00:00,0:38:57,0:31:20
2020-12-18 04:45:57+00:00,2020-12-18 05:25:15+00:00,0:39:18,0:31:25
