On Time,Off Time,Running Duration,Off Duration
2020-12-30 02:48:12+00:00,2020-12-30 02:55:03+00:00,0:06:51,0:34:50
2020-12-30 03:29:53+00:00,2020-12-30 03:37:22+00:00,0:07:29,0:35:03
2020-12-30 04:12:25+00:00,2020-12-30 04:19:09+00:00,0:06:44,0:34:37
2020-12-30 04:53:46+00:00,2020-12-30 05:00:38+00:00,0:06:52,0:35:31
2020-12-30 05:36:09+00:00,2020-12-30 05:43:27+00:00,0:07:18,0:34:57
2020-12-30 06:18:24+00:00,2020-12-30 06:25:30+00:00,0:07:06,0:34:43
2020-12-30 07:00:13+00:00,2020-12-30 07:07:04+00:00,0:06:51,0:35:34
2020-12-30 07:42:38+00:00,2020-12-30 07:49:25+00:00,0:06:47,0:35:06
2020-12-30 08:24:31+00:00,2020-12-30 08:31:39+00:00,0:07:08,0:34:25
2020-12-30 09:06:04+00:00,2020-12-30 09:12:45+00:00,0:06:41,0:34:56
2020-12-30 09:47:41+00:00,2020-12-30 09:54:27+00:00,0:06:46,0:34:10
2020-12-30 10:28:37+00:00,2020-12-30 10:35:18+00:00,0:06:41,0:34:20
2020-12-30 11:09:38+00:00,2020-12-30 11:16:51+00:00,0:07:13,0:33:02
2020-12-30 11:49:53+00:00,2020-12-30 11:56:57+00:00,0:07:04,0:28:23
2020-12-30 12:25:20+00:00,2020-12-30 12:31:51+00:00,0:06:31,0:32:42
2020-12-30 13:04:33+00:00,2020-12-30 13:11:17+00:00,0:06:44,0:32:47
2020-12-30 13:44:04+00:00,2020-12-30 13:51:24+00:00,0:07:20,0:32:32
2020-12-30 14:23:56+00:00,2020-12-30 14:30:52+00:00,0:06:56,0:32:51
2020-12-30 15:03:43+00:00,2020-12-30 15:10:36+00:00,0:06:53,0:32:18
2020-12-30 15:42:54+00:00,2020-12-30 15:49:23+00:00,0:06:29,0:32:05
2020-12-30 16:21:28+00:00,2020-12-30 16:28:02+00:00,0:06:34,0:32:12
2020-12-30 17:00:14+00:00,2020-12-30 17:07:16+00:00,0:07:02,0:31:58
2020-12-30 17:39:14+00:00,2020-12-30 17:46:37+00:00,0:07:23,0:32:09
2020-12-30 18:18:46+00:00,2020-12-30 18:25:42+00:00,0:06:56,0:32:27
2020-12-30 18:58:09+00:00,2020-12-30 19:04:51+00:00,0:06:42,0:33:03
2020-12-30 19:37:54+00:00,2020-12-30 19:44:47+00:00,0:06:53,0:33:01
2020-12-30 20:17:48+00:00,2020-12-30 20:24:39+00:00,0:06:51,0:33:29
2020-12-30 20:58:08+00:00,2020-12-30 21:04:51+00:00,0:06:43,0:33:56
2020-12-30 21:38:47+00:00,2020-12-30 21:46:08+00:00,0:07:21,0:34:12
2020-12-30 22:20:20+00:00,2020-12-30 22:27:19+00:00,0:06:59,0:34:13
2020-12-30 23:01:32+00:00,2020-12-30 23:08:48+00:00,0:07:16,0:33:43
2020-12-30 23:42:31+00:00,2020-12-30 23:49:17+00:00,0:06:46,0:34:26
2020-12-31 00:23:43+00:00,2020-12-31 00:31:02+00:00,0:07:19,0:33:18
2020-12-31 01:04:20+00:00,2020-12-31 01:11:18+00:00,0:06:58,0:34:01
2020-12-31 01:45:19+00:00,2020-12-31 01:52:25+00:00,0:07:06,0:32:48
2020-12-31 02:25:13+00:00,2020-12-31 02:31:53+00:00,0:06:40,0:33:27
