time,voltage,current,frequency,power
355,122.878125,0.003,60.0,0.368634375
356,30.148125,0.004,60.0,0.1205925
357,122.878125,0.003,60.0,0.368634375
358,122.878125,0.004,60.0,0.4915125
359,79.74562499999999,0.004,60.0,0.31898249999999995
360,122.878125,0.004,60.0,0.4915125
361,0.058125,0.004,60.0,0.0002325
362,122.878125,0.004,60.0,0.4915125
363,122.878125,0.004,60.0,0.4915125
364,105.740625,0.004,60.0,0.42296249999999996
365,122.878125,0.004,786.42,0.4915125
366,50.0625,0.003,60.0,0.1501875
367,122.878125,0.003,786.42,0.368634375
368,52.096875,0.003,60.0,0.156290625
369,122.878125,0.003,786.42,0.368634375
370,49.653749999999995,0.003,60.0,0.14896125
371,122.878125,0.003,786.42,0.368634375
372,49.651875000000004,0.003,786.42,0.148955625
373,122.878125,0.003,786.42,0.368634375
374,122.878125,0.003,786.42,0.368634375
375,122.878125,0.003,786.42,0.368634375
376,122.878125,0.003,786.42,0.368634375
377,122.878125,0.003,786.42,0.368634375
378,122.878125,0.003,786.42,0.368634375
379,122.878125,0.001,60.48,0.122878125
380,107.28374999999998,0.004,60.0,0.42913499999999993
381,103.67625000000001,0.004,60.0,0.41470500000000005
382,97.76062499999999,0.004,60.0,0.39104249999999996
383,122.878125,0.004,786.42,0.4915125
384,122.878125,0.004,786.42,0.4915125
385,122.878125,0.004,786.42,0.4915125
386,122.878125,0.255,783.36,31.333921875
387,50.47687499999999,0.002,60.0,0.10095374999999998
388,122.878125,0.002,786.42,0.24575625
389,122.878125,0.002,786.42,0.24575625
390,122.878125,0.002,786.42,0.24575625
391,122.878125,0.002,786.42,0.24575625
392,110.09437499999999,0.007,60.0,0.7706606249999999
393,81.286875,0.003,60.0,0.243860625
394,122.878125,0.004,60.0,0.4915125
395,82.786875,0.003,60.0,0.248360625
396,109.1025,0.004,60.0,0.43641
397,97.24875,0.004,60.0,0.38899500000000004
398,103.876875,0.004,60.0,0.4155075
399,98.89687500000001,0.004,60.0,0.39558750000000004
400,109.96875,0.004,60.0,0.439875
401,103.47,0.004,60.0,0.41388
402,66.826875,0.003,60.0,0.200480625
403,95.93249999999999,0.004,60.0,0.38372999999999996
404,109.284375,0.005,60.0,0.546421875
405,96.72562500000001,0.004,60.0,0.38690250000000004
406,87.8475,0.007,60.0,0.6149325
407,96.328125,0.004,60.0,0.3853125
408,66.463125,0.003,60.0,0.199389375
409,95.529375,0.004,60.0,0.3821175
410,106.16062500000001,0.007,60.0,0.7431243750000001
411,122.878125,0.007,786.42,0.860146875
412,122.878125,0.007,786.42,0.860146875
413,122.878125,0.007,786.42,0.860146875
414,109.71937499999999,0.004,60.0,0.4388775
415,122.878125,0.004,786.42,0.4915125
416,49.655625,0.003,60.0,0.148966875
417,122.878125,0.003,786.42,0.368634375
418,49.243125,0.003,60.0,0.147729375
419,122.878125,0.003,786.42,0.368634375
420,50.878125000000004,0.003,60.0,0.15263437500000002
421,122.878125,0.003,786.42,0.368634375
422,122.878125,0.003,786.42,0.368634375
423,122.878125,0.003,786.42,0.368634375
424,122.878125,0.003,786.42,0.368634375
425,122.878125,0.003,786.42,0.368634375
426,122.878125,0.003,786.42,0.368634375
427,122.878125,0.003,786.42,0.368634375
428,122.878125,0.003,49.512,0.368634375
429,122.878125,0.003,60.0,0.368634375
430,0.058125,0.004,60.0,0.0002325
431,122.878125,0.004,60.0,0.4915125
432,97.11562500000001,0.004,60.0,0.38846250000000004
433,108.99375,0.008,60.0,0.8719500000000001
434,122.878125,0.008,786.42,0.983025
435,122.878125,0.008,786.42,0.983025
436,122.878125,0.008,786.42,0.983025
437,54.11999999999999,0.004,60.0,0.21647999999999998
438,85.92375,0.006,60.0,0.5155425
439,122.878125,0.006,786.42,0.73726875
440,49.24125,0.003,60.0,0.14772375000000001
441,122.878125,0.003,786.42,0.368634375
